Source,Target,Label
http://example.org/entity//m/033fqh,http://example.org/entity//m/09nqf,http://example.org/relation//film/film/estimated_budget./measurement_unit/dated_money_value/currency
http://example.org/entity//m/016r9z,http://example.org/entity//m/09xp_,http://example.org/relation//olympics/olympic_games/sports
http://example.org/entity//m/0gvt53w,http://example.org/entity//m/077qn,http://example.org/relation//film/film/release_date_s./film/film_regional_release_date/film_release_region
http://example.org/entity//m/0j5g9,http://example.org/entity//m/083tk,http://example.org/relation//location/country/official_language
http://example.org/entity//m/03f2_rc,http://example.org/entity//m/094qd5,http://example.org/relation//award/award_nominee/award_nominations./award/award_nomination/award
http://example.org/entity//m/0b_6qj,http://example.org/entity//m/03d5m8w,http://example.org/relation//base/marchmadness/ncaa_basketball_tournament/seeds./base/marchmadness/ncaa_tournament_seed/team
http://example.org/entity//m/059g4,http://example.org/entity//m/0n5yh,http://example.org/relation//location/location/contains
http://example.org/entity//m/0h1p,http://example.org/entity//m/02x4wr9,http://example.org/relation//award/award_nominee/award_nominations./award/award_nomination/award
http://example.org/entity//m/082xp,http://example.org/entity//m/04ztj,http://example.org/relation//people/person/spouse_s./people/marriage/type_of_union
http://example.org/entity//m/02v570,http://example.org/entity//m/0jw67,http://example.org/relation//film/film/written_by
http://example.org/entity//m/02r22gf,http://example.org/entity//m/02qr69m,http://example.org/relation//award/award_category/nominees./award/award_nomination/nominated_for
http://example.org/entity//m/05pcn59,http://example.org/entity//m/05hjnw,http://example.org/relation//award/award_category/nominees./award/award_nomination/nominated_for
http://example.org/entity//m/0814k3,http://example.org/entity//m/09c7w0,http://example.org/relation//people/person/nationality
http://example.org/entity//m/0ckf6,http://example.org/entity//m/02nzb8,http://example.org/relation//soccer/football_team/current_roster./soccer/football_roster_position/position
http://example.org/entity//m/08c4yn,http://example.org/entity//m/09zzb8,http://example.org/relation//film/film/other_crew./film/film_crew_gig/film_crew_role
http://example.org/entity//m/0gsg7,http://example.org/entity//m/05zr0xl,http://example.org/relation//tv/tv_network/programs./tv/tv_network_duration/program
http://example.org/entity//m/016wzw,http://example.org/entity//m/01fpfn,http://example.org/relation//location/country/form_of_government
http://example.org/entity//m/044mz_,http://example.org/entity//m/03_wpf,http://example.org/relation//award/award_nominee/award_nominations./award/award_nomination/award_nominee
http://example.org/entity//m/05pcn59,http://example.org/entity//m/06w6_,http://example.org/relation//award/award_category/winners./award/award_honor/award_winner
http://example.org/entity//m/01x6jd,http://example.org/entity//m/0ccvx,http://example.org/relation//people/person/places_lived./people/place_lived/location
http://example.org/entity//m/0227tr,http://example.org/entity//m/0ftxw,http://example.org/relation//people/person/places_lived./people/place_lived/location
http://example.org/entity//m/05jt_,http://example.org/entity//m/06by7,http://example.org/relation//music/genre/parent_genre
http://example.org/entity//m/060c4,http://example.org/entity//m/01c4pv,http://example.org/relation//government/government_office_category/officeholders./government/government_position_held/jurisdiction_of_office
http://example.org/entity//m/0b60sq,http://example.org/entity//m/09b3v,http://example.org/relation//film/film/production_companies
http://example.org/entity//m/02hy5d,http://example.org/entity//m/09c7w0,http://example.org/relation//government/politician/government_positions_held./government/government_position_held/jurisdiction_of_office
http://example.org/entity//m/01w92,http://example.org/entity//m/047m_w,http://example.org/relation//tv/tv_network/programs./tv/tv_network_duration/program
http://example.org/entity//m/0ddjy,http://example.org/entity//m/0dq6p,http://example.org/relation//film/film/distributors./film/film_film_distributor_relationship/film_distribution_medium
http://example.org/entity//m/07zr66,http://example.org/entity//m/05z01,http://example.org/relation//sports/pro_athlete/teams./sports/sports_team_roster/team
http://example.org/entity//m/06j6l,http://example.org/entity//m/01lqf49,http://example.org/relation//music/genre/artists
http://example.org/entity//m/05ml_s,http://example.org/entity//m/02v5_g,http://example.org/relation//film/actor/film./film/performance/film
http://example.org/entity//m/040t74,http://example.org/entity//m/022yb4,http://example.org/relation//award/award_nominee/award_nominations./award/award_nomination/award_nominee
http://example.org/entity//m/0c94fn,http://example.org/entity//m/0b6mgp_,http://example.org/relation//award/award_nominee/award_nominations./award/award_nomination/award_nominee
http://example.org/entity//m/01_k71,http://example.org/entity//m/0gqz2,http://example.org/relation//award/award_nominee/award_nominations./award/award_nomination/award
http://example.org/entity//m/02h4rq6,http://example.org/entity//m/0157m,http://example.org/relation//education/educational_degree/people_with_this_degree./education/education/student
http://example.org/entity//m/04t2t,http://example.org/entity//m/06rzwx,http://example.org/relation//media_common/netflix_genre/titles
http://example.org/entity//m/0chrx,http://example.org/entity//m/08mbj5d,http://example.org/relation//common/topic/webpage./common/webpage/category
http://example.org/entity//m/02flqd,http://example.org/entity//m/01s695,http://example.org/relation//award/award_category/winners./award/award_honor/ceremony
http://example.org/entity//m/098sv2,http://example.org/entity//m/089fss,http://example.org/relation//people/person/profession
http://example.org/entity//m/05qbckf,http://example.org/entity//m/01ls2,http://example.org/relation//film/film/release_date_s./film/film_regional_release_date/film_release_region
http://example.org/entity//m/0pz91,http://example.org/entity//m/02f6g5,http://example.org/relation//film/actor/film./film/performance/film
http://example.org/entity//m/03ncb2,http://example.org/entity//m/01s695,http://example.org/relation//award/award_category/winners./award/award_honor/ceremony
http://example.org/entity//m/07s6prs,http://example.org/entity//m/05ztm4r,http://example.org/relation//award/award_nominee/award_nominations./award/award_nomination/award_nominee
http://example.org/entity//m/0xv2x,http://example.org/entity//m/06by7,http://example.org/relation//music/genre/parent_genre
http://example.org/entity//m/078bz,http://example.org/entity//m/01d8yn,http://example.org/relation//education/educational_institution/students_graduates./education/education/student
http://example.org/entity//m/026lgs,http://example.org/entity//m/05r4w,http://example.org/relation//film/film/release_date_s./film/film_regional_release_date/film_release_region
http://example.org/entity//m/04fkg4,http://example.org/entity//m/03j6c,http://example.org/relation//people/person/religion
http://example.org/entity//m/05183k,http://example.org/entity//m/05zppz,http://example.org/relation//people/person/gender
http://example.org/entity//m/0248jb,http://example.org/entity//m/0m_v0,http://example.org/relation//award/award_category/winners./award/award_honor/award_winner
http://example.org/entity//m/07z542,http://example.org/entity//m/01l4zqz,http://example.org/relation//award/award_winner/awards_won./award/award_honor/award_winner
http://example.org/entity//m/04v7kt,http://example.org/entity//m/03gjzk,http://example.org/relation//people/person/profession
http://example.org/entity//m/02k_kn,http://example.org/entity//m/026spg,http://example.org/relation//music/genre/artists
http://example.org/entity//m/0277c3,http://example.org/entity//m/01cky2,http://example.org/relation//award/award_nominee/award_nominations./award/award_nomination/award
http://example.org/entity//m/0sx8l,http://example.org/entity//m/01dys,http://example.org/relation//user/jg/default_domain/olympic_games/sports
http://example.org/entity//m/099t8j,http://example.org/entity//m/0209xj,http://example.org/relation//award/award_category/nominees./award/award_nomination/nominated_for
http://example.org/entity//m/0bxtg,http://example.org/entity//m/07z2lx,http://example.org/relation//award/award_nominee/award_nominations./award/award_nomination/award
http://example.org/entity//m/02r0csl,http://example.org/entity//m/0pv3x,http://example.org/relation//award/award_category/nominees./award/award_nomination/nominated_for
http://example.org/entity//m/0jmmn,http://example.org/entity//m/03558l,http://example.org/relation//sports/sports_team/roster./basketball/basketball_roster_position/position
http://example.org/entity//m/0250f,http://example.org/entity//m/01d_h8,http://example.org/relation//people/person/profession
http://example.org/entity//m/0jlv5,http://example.org/entity//m/03h64,http://example.org/relation//people/person/places_lived./people/place_lived/location
http://example.org/entity//m/047fjjr,http://example.org/entity//m/01nc3rh,http://example.org/relation//film/film/music
http://example.org/entity//m/0n04r,http://example.org/entity//m/02n4kr,http://example.org/relation//film/film/genre
http://example.org/entity//m/0dgq_kn,http://example.org/entity//m/02g40r,http://example.org/relation//film/film/music
http://example.org/entity//m/02mv_h,http://example.org/entity//m/02sdk9v,http://example.org/relation//soccer/football_team/current_roster./soccer/football_roster_position/position
http://example.org/entity//m/016ypb,http://example.org/entity//m/09wj5,http://example.org/relation//award/award_winner/awards_won./award/award_honor/award_winner
http://example.org/entity//m/01p970,http://example.org/entity//m/01w4dy,http://example.org/relation//music/performance_role/regular_performances./music/group_membership/role
http://example.org/entity//m/01vzz1c,http://example.org/entity//m/08mbj5d,http://example.org/relation//common/topic/webpage./common/webpage/category
http://example.org/entity//m/06v9_x,http://example.org/entity//m/0345h,http://example.org/relation//film/film/release_date_s./film/film_regional_release_date/film_release_region
http://example.org/entity//m/03dj48,http://example.org/entity//m/02_j1w,http://example.org/relation//soccer/football_team/current_roster./soccer/football_roster_position/position
http://example.org/entity//m/060ny2,http://example.org/entity//m/0495ys,http://example.org/relation//government/legislative_session/members./government/government_position_held/legislative_sessions
http://example.org/entity//m/041rx,http://example.org/entity//m/0jcx,http://example.org/relation//people/ethnicity/people
http://example.org/entity//m/0glt670,http://example.org/entity//m/09qr6,http://example.org/relation//music/genre/artists
http://example.org/entity//m/0234pg,http://example.org/entity//m/0q9sg,http://example.org/relation//film/actor/film./film/performance/film
http://example.org/entity//m/01ydzx,http://example.org/entity//m/0dz3r,http://example.org/relation//people/person/profession
http://example.org/entity//m/06_wqk4,http://example.org/entity//m/051ys82,http://example.org/relation//award/award_winning_work/awards_won./award/award_honor/honored_for
http://example.org/entity//m/057_yx,http://example.org/entity//m/0gbtbm,http://example.org/relation//film/actor/film./film/performance/film
http://example.org/entity//m/09blyk,http://example.org/entity//m/02q87z6,http://example.org/relation//media_common/netflix_genre/titles
http://example.org/entity//m/0285c,http://example.org/entity//m/039v1,http://example.org/relation//people/person/profession
http://example.org/entity//m/060c4,http://example.org/entity//m/03pmfw,http://example.org/relation//organization/role/leaders./organization/leadership/organization
http://example.org/entity//m/01y64_,http://example.org/entity//m/0d0vqn,http://example.org/relation//people/person/nationality
http://example.org/entity//m/01w61th,http://example.org/entity//m/01g63y,http://example.org/relation//people/person/spouse_s./people/marriage/type_of_union
http://example.org/entity//m/0m68w,http://example.org/entity//m/02fttd,http://example.org/relation//film/actor/film./film/performance/film
http://example.org/entity//m/042rlf,http://example.org/entity//m/02sdk9v,http://example.org/relation//soccer/football_team/current_roster./soccer/football_roster_position/position
http://example.org/entity//m/0262zm,http://example.org/entity//m/01dhmw,http://example.org/relation//award/award_category/winners./award/award_honor/award_winner
http://example.org/entity//m/0292l3,http://example.org/entity//m/03p85,http://example.org/relation//people/person/places_lived./people/place_lived/location
http://example.org/entity//m/070m12,http://example.org/entity//m/02q1tc5,http://example.org/relation//award/award_nominee/award_nominations./award/award_nomination/award
http://example.org/entity//m/016xk5,http://example.org/entity//m/09tkzy,http://example.org/relation//award/award_nominee/award_nominations./award/award_nomination/nominated_for
http://example.org/entity//m/033tf_,http://example.org/entity//m/0f_y9,http://example.org/relation//people/ethnicity/people
http://example.org/entity//m/06v9_x,http://example.org/entity//m/0chghy,http://example.org/relation//film/film/release_date_s./film/film_regional_release_date/film_release_region
http://example.org/entity//m/018p4y,http://example.org/entity//m/04ljl_l,http://example.org/relation//award/award_nominee/award_nominations./award/award_nomination/award
http://example.org/entity//m/01dw_f,http://example.org/entity//m/02zsn,http://example.org/relation//people/person/gender
http://example.org/entity//m/030hbp,http://example.org/entity//m/01ggc9,http://example.org/relation//award/award_nominee/award_nominations./award/award_nomination/award_nominee
http://example.org/entity//m/0150jk,http://example.org/entity//m/03tcnt,http://example.org/relation//award/award_nominee/award_nominations./award/award_nomination/award
http://example.org/entity//m/01kr6k,http://example.org/entity//m/05th69,http://example.org/relation//business/job_title/people_with_this_title./business/employment_tenure/company
http://example.org/entity//m/01pm0_,http://example.org/entity//m/04g73n,http://example.org/relation//film/actor/film./film/performance/film
http://example.org/entity//m/044lyq,http://example.org/entity//m/073w14,http://example.org/relation//award/award_nominee/award_nominations./award/award_nomination/award_nominee
http://example.org/entity//m/0cnl09,http://example.org/entity//m/0h3mrc,http://example.org/relation//award/award_nominee/award_nominations./award/award_nomination/award_nominee
http://example.org/entity//m/02xhwm,http://example.org/entity//m/08mbj5d,http://example.org/relation//common/topic/webpage./common/webpage/category
http://example.org/entity//m/03g5jw,http://example.org/entity//m/03d9d6,http://example.org/relation//influence/influence_node/peers./influence/peer_relationship/peers
http://example.org/entity//m/01wp8w7,http://example.org/entity//m/042v_gx,http://example.org/relation//music/artist/track_contributions./music/track_contribution/role
http://example.org/entity//m/0239kh,http://example.org/entity//m/0l14md,http://example.org/relation//music/performance_role/guest_performances./music/recording_contribution/performance_role
http://example.org/entity//m/09n48,http://example.org/entity//m/09_bl,http://example.org/relation//user/jg/default_domain/olympic_games/sports
http://example.org/entity//m/04f52jw,http://example.org/entity//m/02vzc,http://example.org/relation//film/film/release_date_s./film/film_regional_release_date/film_release_region
http://example.org/entity//m/01hjy5,http://example.org/entity//m/09nqf,http://example.org/relation//organization/endowed_organization/endowment./measurement_unit/dated_money_value/currency
http://example.org/entity//m/08n__5,http://example.org/entity//m/03gjzk,http://example.org/relation//people/person/profession
http://example.org/entity//m/01s21dg,http://example.org/entity//m/0g824,http://example.org/relation//award/award_nominee/award_nominations./award/award_nomination/award_nominee
http://example.org/entity//m/05qjt,http://example.org/entity//m/01tdnyh,http://example.org/relation//education/field_of_study/students_majoring./education/education/student
http://example.org/entity//m/022411,http://example.org/entity//m/02c638,http://example.org/relation//film/actor/film./film/performance/film
http://example.org/entity//m/0gmdkyy,http://example.org/entity//m/0dgq_kn,http://example.org/relation//award/award_ceremony/awards_presented./award/award_honor/honored_for
http://example.org/entity//m/01cf93,http://example.org/entity//m/0130sy,http://example.org/relation//music/record_label/artist
http://example.org/entity//m/044mrh,http://example.org/entity//m/03_wpf,http://example.org/relation//award/award_nominee/award_nominations./award/award_nomination/award_nominee
http://example.org/entity//m/01w524f,http://example.org/entity//m/052bw,http://example.org/relation//people/person/place_of_birth
http://example.org/entity//m/0bcndz,http://example.org/entity//m/01b9ck,http://example.org/relation//film/film/executive_produced_by
http://example.org/entity//m/014mlp,http://example.org/entity//m/0fvd03,http://example.org/relation//education/educational_degree/people_with_this_degree./education/education/institution
http://example.org/entity//m/03mkk4,http://example.org/entity//m/05qgc,http://example.org/relation//education/educational_degree/people_with_this_degree./education/education/major_field_of_study
http://example.org/entity//m/0fpzt5,http://example.org/entity//m/02hv44_,http://example.org/relation//people/person/profession
http://example.org/entity//m/0g2c8,http://example.org/entity//m/0bk1p,http://example.org/relation//award/hall_of_fame/inductees./award/hall_of_fame_induction/inductee
http://example.org/entity//m/0m68w,http://example.org/entity//m/03spz,http://example.org/relation//people/person/places_lived./people/place_lived/location
http://example.org/entity//m/03_8r,http://example.org/entity//m/04vs9,http://example.org/relation//olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/country
http://example.org/entity//m/013tcv,http://example.org/entity//m/05dbf,http://example.org/relation//base/popstra/celebrity/friendship./base/popstra/friendship/participant
http://example.org/entity//m/04cj79,http://example.org/entity//m/09c7w0,http://example.org/relation//film/film/country
http://example.org/entity//m/02zccd,http://example.org/entity//m/02zccd,http://example.org/relation//education/educational_institution/campuses
http://example.org/entity//m/0ggx5q,http://example.org/entity//m/01zmpg,http://example.org/relation//music/genre/artists
http://example.org/entity//m/06mzp,http://example.org/entity//m/01qtj9,http://example.org/relation//location/location/contains
http://example.org/entity//m/0jbp0,http://example.org/entity//m/0jdgr,http://example.org/relation//film/actor/film./film/performance/film
http://example.org/entity//m/07l75,http://example.org/entity//m/0g78xc,http://example.org/relation//military/military_combatant/military_conflicts./military/military_combatant_group/combatants
http://example.org/entity//m/01gzm2,http://example.org/entity//m/02jknp,http://example.org/relation//people/person/profession
http://example.org/entity//m/04pmnt,http://example.org/entity//m/04xvlr,http://example.org/relation//film/film/genre
http://example.org/entity//m/03vgp7,http://example.org/entity//m/09sb52,http://example.org/relation//award/award_nominee/award_nominations./award/award_nomination/award
http://example.org/entity//m/04gtdnh,http://example.org/entity//m/026dcvf,http://example.org/relation//award/award_winner/awards_won./award/award_honor/award_winner
http://example.org/entity//m/0vbk,http://example.org/entity//m/0631_,http://example.org/relation//location/statistical_region/religions./location/religion_percentage/religion
http://example.org/entity//m/037q2p,http://example.org/entity//m/05pcjw,http://example.org/relation//education/educational_institution/school_type
http://example.org/entity//m/05k17c,http://example.org/entity//m/01q2sk,http://example.org/relation//organization/role/leaders./organization/leadership/organization
http://example.org/entity//m/0132_h,http://example.org/entity//m/0jc_p,http://example.org/relation//sports/sports_team/colors
http://example.org/entity//m/024rgt,http://example.org/entity//m/04w1j9,http://example.org/relation//award/award_nominee/award_nominations./award/award_nomination/award_nominee
http://example.org/entity//m/0bynt,http://example.org/entity//m/01znc_,http://example.org/relation//olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/country
http://example.org/entity//m/0fmc5,http://example.org/entity//m/02hcv8,http://example.org/relation//location/location/time_zones
http://example.org/entity//m/019_1h,http://example.org/entity//m/02k54,http://example.org/relation//people/person/nationality
http://example.org/entity//m/052h3,http://example.org/entity//m/01531,http://example.org/relation//people/person/place_of_birth
http://example.org/entity//m/04gtdnh,http://example.org/entity//m/025vldk,http://example.org/relation//award/award_winner/awards_won./award/award_honor/award_winner
http://example.org/entity//m/0294mx,http://example.org/entity//m/02x4x18,http://example.org/relation//award/award_winning_work/awards_won./award/award_honor/award
http://example.org/entity//m/02qydsh,http://example.org/entity//m/0d2b38,http://example.org/relation//film/film/other_crew./film/film_crew_gig/film_crew_role
http://example.org/entity//m/0xhtw,http://example.org/entity//m/0178kd,http://example.org/relation//music/genre/artists
http://example.org/entity//m/07pzc,http://example.org/entity//m/01c9dd,http://example.org/relation//award/award_nominee/award_nominations./award/award_nomination/award
http://example.org/entity//m/059ts,http://example.org/entity//m/0j95,http://example.org/relation//location/location/adjoin_s./location/adjoining_relationship/adjoins
http://example.org/entity//m/05zlld0,http://example.org/entity//m/08mbj5d,http://example.org/relation//common/topic/webpage./common/webpage/category
http://example.org/entity//m/040dv,http://example.org/entity//m/05l5n,http://example.org/relation//people/person/places_lived./people/place_lived/location
http://example.org/entity//m/034ls,http://example.org/entity//m/060c4,http://example.org/relation//government/politician/government_positions_held./government/government_position_held/basic_title
http://example.org/entity//m/07ypt,http://example.org/entity//m/07wlt,http://example.org/relation//location/location/contains
http://example.org/entity//m/024n3z,http://example.org/entity//m/0294fd,http://example.org/relation//award/award_winner/awards_won./award/award_honor/award_winner
http://example.org/entity//m/0n6f8,http://example.org/entity//m/032_wv,http://example.org/relation//film/actor/film./film/performance/film
http://example.org/entity//m/02j04_,http://example.org/entity//m/01x73,http://example.org/relation//organization/organization/headquarters./location/mailing_address/state_province_region
http://example.org/entity//m/0hv1t,http://example.org/entity//m/01p7b6b,http://example.org/relation//film/film/music
http://example.org/entity//m/01gw8b,http://example.org/entity//m/0gkts9,http://example.org/relation//award/award_nominee/award_nominations./award/award_nomination/award
http://example.org/entity//m/07_3qd,http://example.org/entity//m/0342h,http://example.org/relation//music/group_member/membership./music/group_membership/role
http://example.org/entity//m/0154qm,http://example.org/entity//m/0237fw,http://example.org/relation//award/award_winner/awards_won./award/award_honor/award_winner
http://example.org/entity//m/093l8p,http://example.org/entity//m/07s9rl0,http://example.org/relation//film/film/genre
http://example.org/entity//m/01yjl,http://example.org/entity//m/04110b0,http://example.org/relation//baseball/baseball_team/team_stats./baseball/baseball_team_stats/season
http://example.org/entity//m/04954,http://example.org/entity//m/0j_tw,http://example.org/relation//film/actor/film./film/performance/film
http://example.org/entity//m/06bng,http://example.org/entity//m/04ztj,http://example.org/relation//people/person/spouse_s./people/marriage/type_of_union
http://example.org/entity//m/01tlmw,http://example.org/entity//m/08mbj5d,http://example.org/relation//common/topic/webpage./common/webpage/category
http://example.org/entity//m/05f7snc,http://example.org/entity//m/01k70_,http://example.org/relation//award/award_nominee/award_nominations./award/award_nomination/award_nominee
http://example.org/entity//m/015401,http://example.org/entity//m/015401,http://example.org/relation//education/educational_institution/campuses
http://example.org/entity//m/0flw6,http://example.org/entity//m/02s2ft,http://example.org/relation//award/award_nominee/award_nominations./award/award_nomination/award_nominee
http://example.org/entity//m/08c4yn,http://example.org/entity//m/0274v0r,http://example.org/relation//award/award_winning_work/awards_won./award/award_honor/award
http://example.org/entity//m/025rcc,http://example.org/entity//m/02frhbc,http://example.org/relation//organization/organization/headquarters./location/mailing_address/citytown
http://example.org/entity//m/03l2n,http://example.org/entity//m/01k3tq,http://example.org/relation//base/petbreeds/city_with_dogs/top_breeds./base/petbreeds/dog_city_relationship/dog_breed
http://example.org/entity//m/05ywg,http://example.org/entity//m/05cw8,http://example.org/relation//travel/travel_destination/climate./travel/travel_destination_monthly_climate/month
http://example.org/entity//m/0bxtg,http://example.org/entity//m/0np9r,http://example.org/relation//people/person/profession
http://example.org/entity//m/0fby2t,http://example.org/entity//m/0bq8tmw,http://example.org/relation//film/actor/film./film/performance/film
http://example.org/entity//m/03swmf,http://example.org/entity//m/08z956,http://example.org/relation//people/person/profession
http://example.org/entity//m/0gr0m,http://example.org/entity//m/0pd6l,http://example.org/relation//award/award_category/nominees./award/award_nomination/nominated_for
http://example.org/entity//m/01stzp,http://example.org/entity//m/0j3v,http://example.org/relation//education/educational_institution/students_graduates./education/education/student
http://example.org/entity//m/01flzb,http://example.org/entity//m/01vvzb1,http://example.org/relation//music/genre/artists
http://example.org/entity//m/059x0w,http://example.org/entity//m/07bdd_,http://example.org/relation//award/award_nominee/award_nominations./award/award_nomination/award
http://example.org/entity//m/02sdk9v,http://example.org/entity//m/01dtl,http://example.org/relation//sports/sports_position/players./sports/sports_team_roster/team
http://example.org/entity//m/09wnnb,http://example.org/entity//m/09nqf,http://example.org/relation//film/film/estimated_budget./measurement_unit/dated_money_value/currency
http://example.org/entity//m/06lht1,http://example.org/entity//m/05b6rdt,http://example.org/relation//film/actor/film./film/performance/film
http://example.org/entity//m/087yty,http://example.org/entity//m/02_286,http://example.org/relation//people/person/place_of_birth
http://example.org/entity//m/03z9585,http://example.org/entity//m/03spz,http://example.org/relation//film/film/release_date_s./film/film_regional_release_date/film_release_region
http://example.org/entity//m/0gr0m,http://example.org/entity//m/02__34,http://example.org/relation//award/award_category/nominees./award/award_nomination/nominated_for
http://example.org/entity//m/01qrb2,http://example.org/entity//m/09nqf,http://example.org/relation//education/university/domestic_tuition./measurement_unit/dated_money_value/currency
http://example.org/entity//m/08ff1k,http://example.org/entity//m/015cjr,http://example.org/relation//people/person/profession
http://example.org/entity//m/01xcfy,http://example.org/entity//m/07ssc,http://example.org/relation//people/person/nationality
http://example.org/entity//m/02lk60,http://example.org/entity//m/04xvh5,http://example.org/relation//film/film/genre
http://example.org/entity//m/03xkps,http://example.org/entity//m/03cvv4,http://example.org/relation//award/award_winner/awards_won./award/award_honor/award_winner
http://example.org/entity//m/02wvf2s,http://example.org/entity//m/06b1q,http://example.org/relation//american_football/football_team/current_roster./sports/sports_team_roster/position
http://example.org/entity//m/01gvxv,http://example.org/entity//m/0cqgl9,http://example.org/relation//award/award_nominee/award_nominations./award/award_nomination/award
http://example.org/entity//m/0lwkh,http://example.org/entity//m/09j2d,http://example.org/relation//business/business_operation/industry
http://example.org/entity//m/0kvb6p,http://example.org/entity//m/01dc60,http://example.org/relation//film/film/film_format
http://example.org/entity//m/06fxnf,http://example.org/entity//m/06ztvyx,http://example.org/relation//award/award_nominee/award_nominations./award/award_nomination/nominated_for
http://example.org/entity//m/0gh6j94,http://example.org/entity//m/04306rv,http://example.org/relation//film/film/language
http://example.org/entity//m/06mkj,http://example.org/entity//m/0l6ny,http://example.org/relation//olympics/olympic_participating_country/athletes./olympics/olympic_athlete_affiliation/olympics
http://example.org/entity//m/02x258x,http://example.org/entity//m/04pk1f,http://example.org/relation//award/award_category/nominees./award/award_nomination/nominated_for
http://example.org/entity//m/0c7t58,http://example.org/entity//m/04x4s2,http://example.org/relation//award/award_winner/awards_won./award/award_honor/award_winner
http://example.org/entity//m/0hvb2,http://example.org/entity//m/01z7s_,http://example.org/relation//award/award_nominee/award_nominations./award/award_nomination/award_nominee
http://example.org/entity//m/0127s7,http://example.org/entity//m/0y62n,http://example.org/relation//people/person/place_of_birth
http://example.org/entity//m/0g7vxv,http://example.org/entity//m/02b13j,http://example.org/relation//sports/pro_athlete/teams./sports/sports_team_roster/team
